"Id","CH_num","DU_num","area","CH_den","DU_den","PHI"
1,524619.94018561,4512.64762309,2676210191,196.030917881521,1.68620822021599,0.0170567745289635
2,183534.69476318,1822.8879299,5232545183,35.0756062956638,0.348375000338721,0.0196688789680473
3,780050.74731455,19625.82455063,5880883076,132.641771181942,3.33722406941287,0.0490844054737141
4,0,0,39043028.54,0,0,0
5,112.32235011,7.75640946,8934422622,0.0125718644463291,0.000868148932299299,0.129188700612424
6,16755855.6364746,36388.83522608,9437627434,1775.4309283401,3.85571855644413,0.00433400493750602
7,26.1706668,2.70265443,3838761880,0.0068174759513867,0.0007040432604275,0.187207727747779
8,1367678.63262946,377.33302401,9000820114,151.95044621569,0.041922071459143,0.000551633900196191
9,941266.44642653,0,9622963546,97.8146120919047,0,0
10,3114240.37556472,3075.83668329,8325886133,374.043113948111,0.369430548791532,0.00197338766674038
11,982.76235195,0,5365043695,0.183178816020808,0,0
12,822531.3556977,145013.82420734,8325886133,98.7920495858768,17.4172240516924,0.299756181352839
13,213617.01866923,32034.16450408,7484565094,28.5410061889202,4.28003018234956,0.260810178809353
14,558815.9723206,2617.50254634,9024581688,61.9215373786974,0.290041426498526,0.00932435511423801
15,21824.94869238,176.13090963,6252039283,3.49085277690505,0.0281717535123171,0.0160111151649038
16,2403816.86523454,3871.30520342,8152842708,294.844013472232,0.474841149531963,0.00321578620599849
17,3811.12028115,1206.23581572,9927230091,0.383905706447275,0.121507792673565,0.480825276273491
18,1756472.31152369,3537.93784543,8325886133,210.965209404178,0.424932288156961,0.00402036050267129
19,0,0,1635039946,0,0,0
20,69661.7312164,10742.72441195,6252039283,11.1422414452542,1.71827525798833,0.267217141836159
21,126952.17287302,2022.88111116,1622641316,78.2379763298348,1.24665943804922,0.0313685638993122
22,0,0,9127013521,0,0,0
23,533982.40832519,0,9767322938,54.6702931514344,0,0
24,24823.41884233,135.09634945,6129877738,4.04957813243909,0.022038995755579,0.0108256719930593
25,0,0,8958986787,0,0,0
26,0,0,1852302.931,0,0,0
27,9447449.72558605,309735.19990259,6129877738,1541.21340251535,50.5287728632003,0.0634886398623994
28,1100.46733608,451.1351998,7060950625,0.155852574890368,0.0638915669800481,0.581508716785045
29,25495557.4140625,231695.36242682,4056818198,6284.61916943474,57.112582107092,0.0180116675837658
30,2454.14510635,1898.06929786,3264740745,0.751712095396414,0.581384387341299,0.872231522428653
31,2528.26589295,3.89855418,4827070474,0.523768175038664,0.000807643932484256,0.0030792266943156
32,70168.98220156,0,8934422622,7.85377916070109,0,0
33,35702.4732208,0,9469103908,3.77041730322936,0,0
34,260654.57610703,0,9542046224,27.316423541466,0,0
35,1090.84853344,4.47244461,4269070727,0.255523649805299,0.00104763891160522,0.00816645476463385
36,2080097.3710939,8593.41168879,9403423408,221.206392697818,0.913859912069802,0.00822851497179611
37,783.08336756,3.81586774,4126699773,0.189760198375352,0.000924677817602894,0.00969849141750723
38,702.0318713,0,5754108928,0.12200531482535,0,0
39,381.21045359,11.28277911,3251129977,0.117254756434489,0.00347041772854965,0.0574928593412153
40,868.03622555,9.86294561,3838761880,0.22612400890831,0.00256930383241172,0.0224694268636061
41,760089.75177006,0,7585835478,100.198554789967,0,0
42,0,0,9127013521,0,0,0
43,0,0,43283441.46,0,0,0
44,2969.6459608,0,3251129977,0.913419636190694,0,0
45,34022.79536176,160.0989022,8490699359,4.00706631141007,0.0188557968467342,0.00936719406868924
46,3749.59436601,14126.4588318,2952036672,1.27017201431636,4.78532633614926,0.419510316345374
47,1674.96183277,1147.53595355,3625632297,0.461977855326348,0.316506435167052,0.81313506009595
48,1154.7997856,0,1897643430,0.608544138136636,0,0
49,10510.35775754,1992.94982911,1105020277,9.51146144220483,1.80354141058898,0.318787619243712
50,5648.87255859,6.68185759,1426574.983,3959.74458118617,4.68384604358368,0.00236293636248408
51,23329.39711758,0,7060950625,3.30400230175523,0,0
52,0,0,49177125.71,0,0,0
53,1184.57519149,0,651122797.3,1.81928078144715,0,0
54,4003457.492796,37947.36525622,5275698531,758.848798746116,7.19286081894963,0.0187792941262059
55,91334.9682465,1632.65924623,5496158235,16.6179655572635,0.29705462914679,0.035123177610565
56,0,0,9352651912,0,0,0
57,2227.89620064,4.05822657,5232545183,0.425776772626485,0.000775574109361685,0.00363647798586364
58,2107.90806471,120.99908035,7169587432,0.294006884594472,0.0168767145247361,0.108572562673303
59,44542514.2109375,5635691.39062519,7971715242,5587.56965831639,706.960951255864,0.224627059619274
60,0,0,2530330712,0,0,0
61,3319.08478074,0,1493989525,2.2216252023186,0,0
62,615.60472298,0,9000820114,0.068394292429251,0,0
63,0.64017535,0,9208110232,6.95229893942043e-05,0,0
64,480.075537,25.84255535,2629159176,0.182596604033076,0.00982920911974483,0.102161024643182
65,547.57795144,0,348392517.1,1.5717270738132,0,0
66,10229720.5366211,1325454.62670921,8647144684,1183.01715889516,153.282346386747,0.229413160419318
67,105012.54122927,32074.93637847,8795092783,11.9399014678104,3.64691279215013,0.467948450700198
68,399565.26974493,25191.13180599,5880883076,67.9430732733939,4.28356277117556,0.118614489217863
69,3131358.50512707,26113.48413281,7455289160,420.0183839854,3.50267891323614,0.0165407542626728
70,621.75692749,0,8647144684,0.0719031484046347,0,0
71,20446345.1835938,3879539.92333992,5646922160,3620.79458584104,687.018487844699,0.318963927214646
72,10729.43307878,828.53789305,9208110232,1.16521553374688,0.0899791457937447,0.143370820893975
73,2167929.35034199,6326.2728653,7169587432,302.378535850735,0.882376137441879,0.00581925399918526
74,5128067.06591814,8668.30742638,9887479651,518.642489989802,0.876695349305048,0.00337502588564775
75,1217860.02270524,157785.35943604,6129877738,198.676070675203,25.7403762652403,0.229398304947511
76,5545.217947,0,8722188645,0.635759919063296,0,0
77,72.14694214,0,9403423408,0.00767241237681807,0,0
78,104.67977976,0.68068686,6252039283,0.0167433016687269,0.00010887437349456,0.0129211056449665
79,1021700.22216805,454427.1364746,6608837850,154.596049314185,68.7605214091612,0.615701800815428
80,109026.79860541,430.60867,6252039283,17.4385978190934,0.0688749143292931,0.00786805901434395
81,1648228.32373053,2991.47452058,9557549973,172.453016556205,0.312995959114092,0.00362335108112
82,236285.85977178,7.53290986,8722188645,27.0902028594888,0.000863649041151873,6.37589547003437e-05
83,6549664.72705092,84336.73046875,9451919153,692.945487686708,8.92270967446668,0.025425599017062
84,0,0,8674867909,0,0,0
85,3029.14694392,1344.20541991,7484565094,0.404719166160812,0.179596997691634,0.614725413404742
86,18349.2812195,0,4126699773,4.44647835530826,0,0
