,English_name,scientific_name,order,family,category
1,Ostriches,Struthionidae,Struthioniformes,Struthionidae (Ostriches),family
2,Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches),species
3,,Struthio camelus camelus,Struthioniformes,Struthionidae (Ostriches),subspecies
4,,Struthio camelus syriacus,Struthioniformes,Struthionidae (Ostriches),subspecies
5,,Struthio camelus massaicus,Struthioniformes,Struthionidae (Ostriches),subspecies
6,,Struthio camelus australis,Struthioniformes,Struthionidae (Ostriches),subspecies
7,Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches),species
8,Common/Somali Ostrich,Struthio camelus/molybdophanes,Struthioniformes,Struthionidae (Ostriches),slash
9,Rheas,Rheidae,Rheiformes,Rheidae (Rheas),family
10,Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas),species
11,,Rhea americana araneipes,Rheiformes,Rheidae (Rheas),subspecies
12,,Rhea americana americana,Rheiformes,Rheidae (Rheas),subspecies
13,,Rhea americana nobilis,Rheiformes,Rheidae (Rheas),subspecies
14,,Rhea americana albescens,Rheiformes,Rheidae (Rheas),subspecies
15,,Rhea americana intermedia,Rheiformes,Rheidae (Rheas),subspecies
16,Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas),species
17,Lesser Rhea (Puna),Rhea pennata tarapacensis/garleppi,Rheiformes,Rheidae (Rheas),group (polytypic)
18,,Rhea pennata garleppi,Rheiformes,Rheidae (Rheas),subspecies
19,,Rhea pennata tarapacensis,Rheiformes,Rheidae (Rheas),subspecies
20,Lesser Rhea (Darwin's),Rhea pennata pennata,Rheiformes,Rheidae (Rheas),group (monotypic)
21,Tinamous,Tinamidae,Tinamiformes,Tinamidae (Tinamous),family
22,Tawny breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous),species
23,Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous),species
24,Highland Tinamou (South American),Nothocercus bonapartei [bonapartei Group],Tinamiformes,Tinamidae (Tinamous),group (polytypic)
25,,Nothocercus bonapartei intercedens,Tinamiformes,Tinamidae (Tinamous),subspecies
26,,Nothocercus bonapartei discrepans,Tinamiformes,Tinamidae (Tinamous),subspecies
27,,Nothocercus bonapartei bonapartei,Tinamiformes,Tinamidae (Tinamous),subspecies
28,,Nothocercus bonapartei plumbeiceps,Tinamiformes,Tinamidae (Tinamous),subspecies
29,Highland Tinamou (Costa Rican),Nothocercus bonapartei frantzii,Tinamiformes,Tinamidae (Tinamous),group (monotypic)
30,Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),species
31,,Nothocercus nigrocapillus cadwaladeri,Tinamiformes,Tinamidae (Tinamous),subspecies
32,,Nothocercus nigrocapillus nigrocapillus,Tinamiformes,Tinamidae (Tinamous),subspecies
33,Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous),species
34,,Tinamus tao larensis,Tinamiformes,Tinamidae (Tinamous),subspecies
35,,Tinamus tao kleei,Tinamiformes,Tinamidae (Tinamous),subspecies
36,,Tinamus tao septentrionalis,Tinamiformes,Tinamidae (Tinamous),subspecies
37,,Tinamus tao tao,Tinamiformes,Tinamidae (Tinamous),subspecies
38,Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous),species
39,Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous),species
40,,Tinamus osgoodi hershkovitzi,Tinamiformes,Tinamidae (Tinamous),subspecies
41,,Tinamus osgoodi osgoodi,Tinamiformes,Tinamidae (Tinamous),subspecies
42,Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous),species
43,,Tinamus major robustus,Tinamiformes,Tinamidae (Tinamous),subspecies
44,,Tinamus major percautus,Tinamiformes,Tinamidae (Tinamous),subspecies
45,,Tinamus major fuscipennis,Tinamiformes,Tinamidae (Tinamous),subspecies
46,,Tinamus major castaneiceps,Tinamiformes,Tinamidae (Tinamous),subspecies
47,,Tinamus major brunneiventris,Tinamiformes,Tinamidae (Tinamous),subspecies
48,,Tinamus major saturatus,Tinamiformes,Tinamidae (Tinamous),subspecies
49,,Tinamus major latifrons,Tinamiformes,Tinamidae (Tinamous),subspecies
50,,Tinamus major zuliensis,Tinamiformes,Tinamidae (Tinamous),subspecies
51,,Tinamus major peruvianus,Tinamiformes,Tinamidae (Tinamous),subspecies
52,,Tinamus major serratus,Tinamiformes,Tinamidae (Tinamous),subspecies
53,,Tinamus major major,Tinamiformes,Tinamidae (Tinamous),subspecies
54,,Tinamus major olivascens,Tinamiformes,Tinamidae (Tinamous),subspecies
55,White throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous),species
56,Tinamus sp.,Tinamus sp.,Tinamiformes,Tinamidae (Tinamous),spuh
57,Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous),species
58,Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous),species
59,Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous),species
60,,Crypturellus soui meserythrus,Tinamiformes,Tinamidae (Tinamous),subspecies
61,,Crypturellus soui modestus,Tinamiformes,Tinamidae (Tinamous),subspecies
62,,Crypturellus soui capnodes,Tinamiformes,Tinamidae (Tinamous),subspecies
63,,Crypturellus soui poliocephalus,Tinamiformes,Tinamidae (Tinamous),subspecies
64,,Crypturellus soui panamensis,Tinamiformes,Tinamidae (Tinamous),subspecies
65,,Crypturellus soui harterti,Tinamiformes,Tinamidae (Tinamous),subspecies
66,,Crypturellus soui caucae,Tinamiformes,Tinamidae (Tinamous),subspecies
67,,Crypturellus soui mustelinus,Tinamiformes,Tinamidae (Tinamous),subspecies
68,,Crypturellus soui soui,Tinamiformes,Tinamidae (Tinamous),subspecies
69,,Crypturellus soui caquetae,Tinamiformes,Tinamidae (Tinamous),subspecies
70,,Crypturellus soui andrei,Tinamiformes,Tinamidae (Tinamous),subspecies
71,,Crypturellus soui nigriceps,Tinamiformes,Tinamidae (Tinamous),subspecies
72,,Crypturellus soui inconspicuus,Tinamiformes,Tinamidae (Tinamous),subspecies
73,,Crypturellus soui albigularis,Tinamiformes,Tinamidae (Tinamous),subspecies
74,Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous),species
75,Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous),species
76,Brown Tinamou (castaneus),Crypturellus obsoletus castaneus,Tinamiformes,Tinamidae (Tinamous),group (monotypic)
77,Brown Tinamou (Brown),Crypturellus obsoletus [obsoletus Group],Tinamiformes,Tinamidae (Tinamous),group (polytypic)
78,,Crypturellus obsoletus ochraceiventris,Tinamiformes,Tinamidae (Tinamous),subspecies
79,,Crypturellus obsoletus traylori,Tinamiformes,Tinamidae (Tinamous),subspecies
80,,Crypturellus obsoletus punensis,Tinamiformes,Tinamidae (Tinamous),subspecies
81,,Crypturellus obsoletus cerviniventris,Tinamiformes,Tinamidae (Tinamous),subspecies
82,,Crypturellus obsoletus knoxi,Tinamiformes,Tinamidae (Tinamous),subspecies
83,,Crypturellus obsoletus griseiventris,Tinamiformes,Tinamidae (Tinamous),subspecies
84,,Crypturellus obsoletus hypochraceus,Tinamiformes,Tinamidae (Tinamous),subspecies
85,,Crypturellus obsoletus obsoletus,Tinamiformes,Tinamidae (Tinamous),subspecies
86,Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous),species
87,,Crypturellus undulatus manapiare,Tinamiformes,Tinamidae (Tinamous),subspecies
88,,Crypturellus undulatus simplex,Tinamiformes,Tinamidae (Tinamous),subspecies
89,,Crypturellus undulatus yapura,Tinamiformes,Tinamidae (Tinamous),subspecies
90,,Crypturellus undulatus vermiculatus,Tinamiformes,Tinamidae (Tinamous),subspecies
91,,Crypturellus undulatus adspersus,Tinamiformes,Tinamidae (Tinamous),subspecies
92,,Crypturellus undulatus undulatus,Tinamiformes,Tinamidae (Tinamous),subspecies
93,Pale browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous),species
94,Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous),species
95,Gray legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous),species
96,Red legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous),species
97,,Crypturellus erythropus columbianus,Tinamiformes,Tinamidae (Tinamous),subspecies
98,,Crypturellus erythropus saltuarius,Tinamiformes,Tinamidae (Tinamous),subspecies
99,,Crypturellus erythropus idoneus,Tinamiformes,Tinamidae (Tinamous),subspecies
100,,Crypturellus erythropus cursitans,Tinamiformes,Tinamidae (Tinamous),subspecies
101,,Crypturellus erythropus spencei,Tinamiformes,Tinamidae (Tinamous),subspecies
102,,Crypturellus erythropus margaritae,Tinamiformes,Tinamidae (Tinamous),subspecies
103,,Crypturellus erythropus erythropus,Tinamiformes,Tinamidae (Tinamous),subspecies
104,Yellow legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous),species
105,Yellow legged Tinamou (zabele),Crypturellus noctivagus zabele,Tinamiformes,Tinamidae (Tinamous),group (monotypic)
106,Yellow legged Tinamou (noctivagus),Crypturellus noctivagus noctivagus,Tinamiformes,Tinamidae (Tinamous),group (monotypic)
107,Black capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous),species
108,,Crypturellus atrocapillus atrocapillus,Tinamiformes,Tinamidae (Tinamous),subspecies
109,,Crypturellus atrocapillus garleppi,Tinamiformes,Tinamidae (Tinamous),subspecies
110,Slaty breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous),species
111,,Crypturellus boucardi boucardi,Tinamiformes,Tinamidae (Tinamous),subspecies
112,,Crypturellus boucardi costaricensis,Tinamiformes,Tinamidae (Tinamous),subspecies
113,Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous),species
114,Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous),species
115,Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),species
116,Thicket Tinamou (occidentalis),Crypturellus cinnamomeus occidentalis,Tinamiformes,Tinamidae (Tinamous),group (monotypic)
117,Thicket Tinamou (cinnamomeus Group),Crypturellus cinnamomeus [cinnamomeus Group],Tinamiformes,Tinamidae (Tinamous),group (polytypic)
118,,Crypturellus cinnamomeus soconuscensis,Tinamiformes,Tinamidae (Tinamous),subspecies
119,,Crypturellus cinnamomeus mexicanus,Tinamiformes,Tinamidae (Tinamous),subspecies
120,,Crypturellus cinnamomeus sallaei,Tinamiformes,Tinamidae (Tinamous),subspecies
121,,Crypturellus cinnamomeus goldmani,Tinamiformes,Tinamidae (Tinamous),subspecies
122,,Crypturellus cinnamomeus vicinior,Tinamiformes,Tinamidae (Tinamous),subspecies
123,,Crypturellus cinnamomeus cinnamomeus,Tinamiformes,Tinamidae (Tinamous),subspecies
124,,Crypturellus cinnamomeus delattrii,Tinamiformes,Tinamidae (Tinamous),subspecies
125,,Crypturellus cinnamomeus praepes,Tinamiformes,Tinamidae (Tinamous),subspecies
126,Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous),species
127,Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous),species
128,Small billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous),species
129,Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous),species
130,Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous),species
131,,Crypturellus tataupa inops,Tinamiformes,Tinamidae (Tinamous),subspecies
132,,Crypturellus tataupa peruvianus,Tinamiformes,Tinamidae (Tinamous),subspecies
133,,Crypturellus tataupa lepidotus,Tinamiformes,Tinamidae (Tinamous),subspecies
134,,Crypturellus tataupa tataupa,Tinamiformes,Tinamidae (Tinamous),subspecies
135,Crypturellus sp.,Crypturellus sp.,Tinamiformes,Tinamidae (Tinamous),spuh
136,Red winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous),species
137,,Rhynchotus rufescens catingae,Tinamiformes,Tinamidae (Tinamous),subspecies
138,,Rhynchotus rufescens rufescens,Tinamiformes,Tinamidae (Tinamous),subspecies
139,,Rhynchotus rufescens pallescens,Tinamiformes,Tinamidae (Tinamous),subspecies
140,Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous),species
141,Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous),species
142,Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous),species
143,,Nothoprocta ornata branickii,Tinamiformes,Tinamidae (Tinamous),subspecies
144,,Nothoprocta ornata ornata,Tinamiformes,Tinamidae (Tinamous),subspecies
145,,Nothoprocta ornata rostrata,Tinamiformes,Tinamidae (Tinamous),subspecies
146,Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous),species
147,,Nothoprocta perdicaria perdicaria,Tinamiformes,Tinamidae (Tinamous),subspecies
148,,Nothoprocta perdicaria sanborni,Tinamiformes,Tinamidae (Tinamous),subspecies
149,Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous),species
150,,Nothoprocta cinerascens cinerascens,Tinamiformes,Tinamidae (Tinamous),subspecies
151,,Nothoprocta cinerascens parvimaculata,Tinamiformes,Tinamidae (Tinamous),subspecies
152,Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous),species
153,,Nothoprocta pentlandii ambigua,Tinamiformes,Tinamidae (Tinamous),subspecies
154,,Nothoprocta pentlandii oustaleti,Tinamiformes,Tinamidae (Tinamous),subspecies
155,,Nothoprocta pentlandii niethammeri,Tinamiformes,Tinamidae (Tinamous),subspecies
156,,Nothoprocta pentlandii fulvescens,Tinamiformes,Tinamidae (Tinamous),subspecies
157,,Nothoprocta pentlandii pentlandii,Tinamiformes,Tinamidae (Tinamous),subspecies
158,,Nothoprocta pentlandii patriciae,Tinamiformes,Tinamidae (Tinamous),subspecies
159,,Nothoprocta pentlandii doeringi,Tinamiformes,Tinamidae (Tinamous),subspecies
160,,Nothoprocta pentlandii mendozae,Tinamiformes,Tinamidae (Tinamous),subspecies
161,Curve billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous),species
162,,Nothoprocta curvirostris curvirostris,Tinamiformes,Tinamidae (Tinamous),subspecies
163,,Nothoprocta curvirostris peruviana,Tinamiformes,Tinamidae (Tinamous),subspecies
164,Nothoprocta sp.,Nothoprocta sp.,Tinamiformes,Tinamidae (Tinamous),spuh
165,White bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous),species
166,Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous),species
167,Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous),species
168,,Nothura darwinii peruviana,Tinamiformes,Tinamidae (Tinamous),subspecies
169,,Nothura darwinii agassizii,Tinamiformes,Tinamidae (Tinamous),subspecies
170,,Nothura darwinii boliviana,Tinamiformes,Tinamidae (Tinamous),subspecies
171,,Nothura darwinii salvadorii,Tinamiformes,Tinamidae (Tinamous),subspecies
172,,Nothura darwinii darwinii,Tinamiformes,Tinamidae (Tinamous),subspecies
173,Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous),species
174,,Nothura maculosa cearensis,Tinamiformes,Tinamidae (Tinamous),subspecies
175,,Nothura maculosa major,Tinamiformes,Tinamidae (Tinamous),subspecies
176,,Nothura maculosa chacoensis,Tinamiformes,Tinamidae (Tinamous),subspecies
177,,Nothura maculosa paludivaga,Tinamiformes,Tinamidae (Tinamous),subspecies
178,,Nothura maculosa maculosa,Tinamiformes,Tinamidae (Tinamous),subspecies
179,,Nothura maculosa pallida,Tinamiformes,Tinamidae (Tinamous),subspecies
180,,Nothura maculosa annectens,Tinamiformes,Tinamidae (Tinamous),subspecies
181,,Nothura maculosa submontana,Tinamiformes,Tinamidae (Tinamous),subspecies
182,,Nothura maculosa nigroguttata,Tinamiformes,Tinamidae (Tinamous),subspecies
183,White bellied/Spotted Nothura,Nothura boraquira/maculosa,Tinamiformes,Tinamidae (Tinamous),slash
184,Lesser/Spotted Nothura,Nothura minor/maculosa,Tinamiformes,Tinamidae (Tinamous),slash
185,Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous),species
186,Elegant Crested Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous),species
187,,Eudromia elegans intermedia,Tinamiformes,Tinamidae (Tinamous),subspecies
188,,Eudromia elegans magnistriata,Tinamiformes,Tinamidae (Tinamous),subspecies
189,,Eudromia elegans riojana,Tinamiformes,Tinamidae (Tinamous),subspecies
190,,Eudromia elegans albida,Tinamiformes,Tinamidae (Tinamous),subspecies
191,,Eudromia elegans wetmorei,Tinamiformes,Tinamidae (Tinamous),subspecies
192,,Eudromia elegans devia,Tinamiformes,Tinamidae (Tinamous),subspecies
193,,Eudromia elegans numida,Tinamiformes,Tinamidae (Tinamous),subspecies
194,,Eudromia elegans multiguttata,Tinamiformes,Tinamidae (Tinamous),subspecies
195,,Eudromia elegans elegans,Tinamiformes,Tinamidae (Tinamous),subspecies
196,,Eudromia elegans patagonica,Tinamiformes,Tinamidae (Tinamous),subspecies
197,Quebracho Crested Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous),species
198,,Eudromia formosa mira,Tinamiformes,Tinamidae (Tinamous),subspecies
199,,Eudromia formosa formosa,Tinamiformes,Tinamidae (Tinamous),subspecies
200,Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous),species
201,Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous),species
202,tinamou sp.,Tinamidae sp.,Tinamiformes,Tinamidae (Tinamous),spuh
203,Cassowaries and Emu,Casuariidae,Casuariiformes,Casuariidae (Cassowaries and Emu),family
204,Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu),species
205,Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu),species
206,Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu),species
207,Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),species
208,,Dromaius novaehollandiae novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu),subspecies
209,,Dromaius novaehollandiae baudinianus,Casuariiformes,Casuariidae (Cassowaries and Emu),subspecies
210,,Dromaius novaehollandiae minor,Casuariiformes,Casuariidae (Cassowaries and Emu),subspecies
211,,Dromaius novaehollandiae diemenensis,Casuariiformes,Casuariidae (Cassowaries and Emu),subspecies
212,Kiwis,Apterygidae,Apterygiformes,Apterygidae (Kiwis),family
213,Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis),species
214,Southern Brown Kiwi (South I.),Apteryx australis australis,Apterygiformes,Apterygidae (Kiwis),group (monotypic)
215,Southern Brown Kiwi (Stewart I.),Apteryx australis lawryi,Apterygiformes,Apterygidae (Kiwis),group (monotypic)
216,Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis),species
217,North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis),species
218,Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis),species
219,Okarito Brown x Little Spotted Kiwi (hybrid),Apteryx rowi x owenii,Apterygiformes,Apterygidae (Kiwis),group (monotypic)
220,Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis),species
221,kiwi sp.,Apteryx sp.,Apterygiformes,Apterygidae (Kiwis),spuh
222,Screamers,Anhimidae,Anseriformes,Anhimidae (Screamers),family
223,Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers),species
224,Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers),species
225,Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers),species
226,Magpie Goose,Anseranatidae,Anseriformes,Anseranatidae (Magpie Goose),family
227,Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose),species
228,"Ducks, Geese, and Waterfowl",Anatidae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",family
229,Spotted Whistling Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
230,Plumed Whistling Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
231,White faced Whistling Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
232,Spotted x White faced Whistling Duck (hybrid),Dendrocygna guttata x viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
233,Black bellied Whistling Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
234,Black bellied Whistling Duck (fulgens),Dendrocygna autumnalis fulgens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
235,Black bellied Whistling Duck (autumnalis),Dendrocygna autumnalis autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
236,West Indian Whistling Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
237,Black bellied x West Indian Whistling Duck (hybrid),Dendrocygna autumnalis x arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
238,Fulvous Whistling Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
239,White faced x Fulvous Whistling Duck (hybrid),Dendrocygna viduata x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
240,Black bellied x Fulvous Whistling Duck (hybrid),Dendrocygna autumnalis x bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
241,Wandering Whistling Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
242,,Dendrocygna arcuata arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
243,,Dendrocygna arcuata australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
244,,Dendrocygna arcuata pygmaea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
245,Plumed x Wandering Whistling Duck (hybrid),Dendrocygna eytoni x arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
246,Plumed/Wandering Whistling Duck,Dendrocygna eytoni/arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",slash
247,Lesser Whistling Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
248,Fulvous/Lesser Whistling Duck,Dendrocygna bicolor/javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",slash
249,Wandering x Lesser Whistling Duck (hybrid),Dendrocygna arcuata x javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
250,whistling duck sp.,Dendrocygna sp.,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",spuh
251,White backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
252,,Thalassornis leuconotus leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
253,,Thalassornis leuconotus insularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
254,Bar headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
255,Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
256,Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
257,,Anser caerulescens caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
258,,Anser caerulescens atlanticus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
259,Bar headed x Snow Goose (hybrid),Anser indicus x caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
260,Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
261,Snow x Ross's Goose (hybrid),Anser caerulescens x rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
262,Snow/Ross's Goose,Anser caerulescens/rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",slash
263,Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
264,Graylag Goose (European),Anser anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
265,Graylag Goose (Siberian),Anser anser rubrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
266,Graylag Goose (Domestic type),Anser anser (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",domestic
267,Bar headed x Graylag Goose (hybrid),Anser indicus x anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
268,Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
269,Swan Goose (Domestic type),Anser cygnoides (Domestic type),Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",domestic
270,Graylag x Swan Goose (hybrid),Anser anser x cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
271,Greater White fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
272,Greater White fronted Goose (Greenland),Anser albifrons flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
273,Greater White fronted Goose (Eurasian),Anser albifrons albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
274,Greater White fronted Goose (Western),Anser albifrons gambelli/sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (polytypic)
275,,Anser albifrons gambelli,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
276,,Anser albifrons sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
277,Greater White fronted Goose (Tule),Anser albifrons elgasi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",group (monotypic)
278,Bar headed x Greater White fronted Goose (hybrid),Anser indicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
279,Emperor x Greater White fronted Goose (hybrid),Anser canagicus x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
280,Snow x Greater White fronted Goose (hybrid),Anser caerulescens x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
281,Ross's x Greater White fronted Goose (hybrid),Anser rossii x albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",hybrid
282,Lesser White fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
283,Greater/Lesser White fronted Goose,Anser albifrons/erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",slash
284,Taiga Bean Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",species
285,,Anser fabalis fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)",subspecies
