id,neigh1,neigh2,neigh3,neigh4,neigh5,neigh6,neigh7,neigh8
1,13561,19271,21155,,,,,
2,236,414,615,6175,14737,17651,17854,18607
3,1524,1543,3143,4713,6333,8257,11994,13246
4,12489,17706,,,,,,
5,2550,3004,4267,5728,9200,9751,11607,12483
6,2584,5371,6465,6910,10161,12861,21148,21750
7,3204,5537,10428,12278,14388,15354,15371,19936
8,2247,3700,4520,6109,6197,8243,13097,13922
9,354,818,9448,14744,16252,18433,20519,21724
10,1893,5093,6275,6353,10840,11252,14581,15319
11,5571,7213,7973,8109,8162,8576,8993,19006
12,2267,4799,6179,8112,9600,10233,11216,11966
13,1855,3542,7593,8328,10579,11396,15344,16687
14,2925,8702,12634,15181,15599,19218,19439,20282
15,889,3077,6742,7554,8843,10434,12748,18032
16,1038,1413,3484,4849,5437,7365,9691,13973
17,8565,14694,14970,15475,17471,20236,21101,22051
18,2962,3060,3484,5437,7968,9957,11557,15277
19,5842,,,,,,,
20,1026,7923,9681,13714,16810,16833,17565,18034
21,2945,18688,19162,20372,,,,
22,3432,4232,4402,7826,7941,12456,12605,13870
23,5876,5879,5956,16431,19257,19399,20942,21679
24,2732,10693,11963,15176,15611,17316,17514,18620
25,4916,11096,14205,17400,18613,19499,21930,21988
26,0,,,,,,,
27,3777,5629,8932,10953,11772,14964,15732,18359
28,1672,4841,6350,6508,8137,8745,14340,15662
29,8482,9499,17341,17626,20000,,,
30,861,1697,6156,10328,18616,18886,,
31,3017,3056,4969,7726,12335,13818,14850,17445
32,1041,2323,2430,4366,6753,8816,9440,14357
33,4920,5136,5409,16906,17084,20398,20898,21206
34,13490,14348,15055,15282,17795,17855,19713,20634
35,466,9386,9946,11578,16187,19238,19611,19897
36,1589,1615,2223,4317,4945,6590,8157,9428
37,3543,3991,5562,5882,9386,12572,19611,19755
38,6026,7667,7707,10823,13939,15011,15824,18719
39,4132,5832,11358,13381,15977,19504,19571,20556
40,5210,5389,6476,8978,9696,12080,15167,18826
41,1071,1271,6165,10112,11345,11872,13078,15955
42,3310,5298,5714,7826,10492,12605,12732,13870
43,0,,,,,,,
44,585,2669,3521,7157,10611,13193,13844,17153
45,334,1192,9509,10197,10589,12796,14036,14761
46,3711,6155,12292,13036,17304,17421,20677,20876
47,5181,6713,6900,10176,12119,12762,13035,
48,1450,2867,7273,8872,11742,17168,,
49,1557,14417,19289,,,,,
50,12041,,,,,,,
51,5016,7525,8457,8812,9990,13849,14838,16830
52,10217,,,,,,,
53,1069,1922,6079,9349,13858,16540,19740,
54,5303,6164,8311,11284,11975,15597,17077,
55,1814,9352,10671,11755,11791,11823,15389,16152
56,364,807,2721,8269,9314,9488,10843,10924
57,1254,3918,9452,11463,11507,13451,15569,16231
58,2307,2622,4240,12426,15090,15104,17115,17247
59,2988,3506,5699,11170,13698,14110,14121,15856
60,9592,13899,,,,,,
61,2938,3162,3619,5555,14449,16699,17356,21111
62,532,2478,6070,6729,8644,9246,11988,13123
63,3840,6896,10978,11234,14463,15952,18291,21873
64,1569,4293,4618,9335,10302,,,
65,1278,7148,15063,16666,20868,,,
66,796,880,6296,9198,9219,9886,14147,15093
67,2319,2561,3227,4110,4183,6899,9126,11016
68,3411,5150,5226,12964,13245,13611,16629,17803
69,263,264,4694,7730,10033,10609,10883,
70,817,5112,6541,8391,8757,9208,12152,14660
71,949,1084,2834,8262,11159,15421,15491,
72,218,1366,2279,11854,18650,18927,19366,19840
73,521,3623,4408,6176,6622,8834,10031,15591
74,8537,16471,16695,19165,20560,21778,21842,
75,5698,6076,7335,9584,10619,12123,12205,18463
76,221,3198,11058,11691,11709,12417,12629,13833
77,230,1719,2146,6647,8963,10280,11146,12442
78,422,2200,3678,9144,12597,13840,16173,17986
79,829,8061,10173,11850,12250,13189,16263,17116
80,2025,3807,5526,5725,7801,9172,9894,10107
81,2488,2780,4254,6947,15492,16798,18770,19104
82,356,3466,4582,4944,6127,6444,9197,13392
83,2308,2827,7233,8143,10278,16720,21460,21595
84,5558,8889,11453,16915,17934,18575,20766,20884
85,361,830,8167,8971,10252,12526,15402,15719
86,4790,6649,10787,11164,13918,17056,17727,18689
87,1652,5284,8945,9051,16344,16949,20300,21508
88,4006,4449,5252,12435,13459,14151,,
89,5939,7695,12239,16119,18757,21680,21774,
90,15139,,,,,,,
91,284,3349,6768,11920,13991,,,
92,2101,4883,4884,5769,7916,13048,15152,15466
93,831,4216,4283,6841,11555,12214,16165,17955
94,2723,2742,5488,7905,8197,11585,11982,12393
95,2724,4459,7875,10177,13519,15908,18140,20705
96,1310,1874,10462,10541,11668,15196,20834,
97,4067,5049,11313,12931,13987,16379,17262,
98,3944,9000,11471,14869,17339,18038,19312,21435
99,9277,11525,12533,19465,19703,,,
100,3705,5417,8218,10103,12949,14723,16876,18527
101,1108,5073,9479,10395,11175,11636,14864,15271
102,10656,13301,13739,13981,14010,16072,17526,21290
103,1809,5636,8383,11784,15383,17179,18726,20176
104,3940,9931,14080,15180,16822,20137,20160,21814
105,1564,2922,6512,6604,9975,9992,11317,18317
106,863,3261,5497,7888,10761,15148,19208,19709
107,702,2077,3830,5131,8806,11212,14995,15552
108,2079,12730,16119,16245,18757,20564,21497,21726
109,1332,3893,9822,11962,14570,,,
110,7333,8970,10758,15428,16084,18106,19504,20556
111,3710,5117,6104,9222,10555,11926,12625,13335
112,3973,16189,17796,19790,20555,,,
113,3110,10348,12691,16891,17131,17427,18916,20054
114,1537,2110,2565,5418,7856,8984,12864,
115,1144,6307,10254,13125,14556,14725,,
116,13639,14858,14902,18452,19686,20452,20490,21891
117,2315,4095,5079,7240,9891,10172,12310,13326
118,4209,11293,12812,15970,17387,18300,18384,21715
119,3313,7807,8302,9742,10921,12370,19132,19546
120,4919,7215,7295,7860,8817,11469,12441,13954
121,3614,4288,7177,10129,17206,20142,21042,21831
122,4282,16318,19453,20069,20945,,,
123,5137,5355,7897,8056,10856,11269,12396,16046
124,8727,14176,17159,17810,20978,,,
125,1334,2428,2866,2895,6593,12121,13309,13617
126,428,6141,6548,10987,11965,13593,14058,14653
127,4251,8522,17055,18023,18921,,,
128,2344,7184,11439,14943,15571,,,
129,2905,4493,9821,10757,10945,11745,13093,13845
130,2135,2934,4524,12176,16191,16316,17911,18212
131,8398,9241,10212,11419,13119,13497,13967,15678
132,2189,7432,10724,18976,19779,21129,21584,21892
133,5786,5869,8906,10651,19171,19578,21022,21296
134,340,1647,2170,3811,6156,6669,12213,17772
135,1916,2691,5285,12499,13599,14137,14270,14974
136,16821,,,,,,,
137,4121,4568,6316,6627,7099,10094,10249,14767
138,1130,6222,7634,8011,8154,9857,12537,13756
139,4379,11042,12010,15135,15155,17079,18184,18957
140,4223,6254,7222,12645,14824,15403,16472,17486
141,1399,3319,5981,7674,9915,9995,12295,12612
142,5125,11157,11360,21614,21889,,,
143,4279,4571,4739,5033,5778,7309,9585,17301
144,919,4273,7774,7890,8322,8819,9146,16417
145,922,4288,6290,6450,12665,18679,19689,21042
146,1584,1645,5986,11908,13729,15000,16808,17112
147,1117,1469,6840,,,,,
148,2987,4097,4885,12487,17847,18056,18903,21329
149,3212,4147,6028,8068,8077,11411,12184,12384
150,789,5387,7047,9155,9589,10903,11780,12458
151,1268,15608,16475,18435,20360,,,
152,5579,7832,15532,16807,19533,,,
153,4106,7536,8930,12124,16020,19145,19514,
154,1008,1369,6238,10927,18005,18236,18744,20793
155,473,1771,2561,4174,4183,9126,11179,13484
156,1270,2477,4982,6496,8538,13559,13700,14594
157,2316,5965,6002,7441,10869,15205,15921,18221
158,1207,5496,11683,18390,19649,20770,21078,22121
159,6683,7003,8165,10813,11085,11291,15360,15612
160,1708,3208,5154,6366,10781,13385,14916,16459
161,2902,10297,13331,16067,17990,,,
162,3409,4015,6091,6973,7208,8338,12160,14426
163,4099,4464,4997,8363,8637,10327,11967,17573
164,206,3176,5151,5492,7499,10363,10532,15209
165,549,748,882,999,1080,1170,3287,4096
166,856,2798,6081,6626,7196,10453,10695,11569
167,706,2825,7587,9554,11640,15439,19482,20373
168,4878,7476,8730,9134,9864,,,
169,1666,3923,6563,10618,15932,18064,18155,19022
170,2212,2394,3384,9950,13677,18550,18691,18725
171,1158,17517,18310,,,,,
172,2075,3673,11397,13032,14593,15904,21513,
173,265,1461,5298,5714,5967,6980,8611,13745
174,777,2028,2452,6681,9714,10887,11240,11500
175,4153,5813,9637,17244,17426,17468,19114,20753
176,5185,9361,12818,14206,15023,19445,21728,21914
177,6898,7450,9031,16226,18397,20456,21675,
178,198,4234,6422,8098,9910,16357,17202,17443
179,194,5512,6573,8020,20938,21113,21330,21336
180,2412,9640,9796,12490,12827,15445,15446,19403
181,217,1043,11428,17417,18569,,,
182,3501,6651,12361,12895,13657,14496,20139,20481
183,7453,,,,,,,
184,1571,5591,6413,7341,7366,11403,13716,13743
185,8625,10866,11694,14315,22011,,,
186,222,2153,6532,9656,11537,11974,14949,15878
187,507,654,2918,3401,4139,4416,10358,15605
188,4794,13934,15895,,,,,
189,2527,4983,11463,12269,15569,16313,17878,19124
190,1478,2509,4773,5002,5424,5449,6352,7083
191,11831,,,,,,,
192,259,,,,,,,
193,9332,10897,16179,16720,19987,20807,21460,21595
194,179,687,14462,16582,21060,21113,21336,21382
195,6521,10786,11306,12821,14323,15679,15721,17276
196,2281,14847,19620,19779,20620,21129,21167,22056
197,2512,3033,4922,5419,8245,10624,15688,16967
198,178,3869,4234,5746,6422,16357,17090,17443
199,2287,9166,12649,13300,14599,17143,17654,19577
200,2504,6046,9413,9629,9887,,,
201,0,,,,,,,
202,221,532,2478,3153,4831,6729,11402,13833
203,265,688,3863,3965,4795,5967,11851,13745
204,371,5887,6680,14982,16052,18906,18913,
205,5291,7676,8087,19129,20430,21130,21747,21853
206,164,3176,5151,7499,8548,9930,10532,14172
207,1104,10819,12855,13426,,,,
208,4125,5957,9577,9620,12056,12780,16740,
209,10300,12139,13185,14222,18528,18923,19422,19572
210,6968,8926,11009,11642,14131,14907,15989,
211,971,7241,8057,8561,12509,12727,19683,19697
212,1418,1758,5040,5264,6481,10193,13470,15178
213,2221,2566,8405,19718,20693,,,
214,914,5574,7237,10320,11860,13917,16843,17330
215,0,,,,,,,
216,348,1042,1493,10106,14785,16194,18400,20132
217,181,377,1043,7322,7437,11428,17417,18569
218,72,2279,3069,5881,16867,19366,20034,20765
219,3086,3631,6078,9916,9989,10108,12263,12590
220,1350,1784,4846,8174,9404,10980,11120,16329
221,76,202,3153,3198,9244,11691,12629,13833
222,186,4690,5641,6532,9656,11537,11974,15151
223,1129,3238,3752,5067,7515,9615,10178,14059
224,521,1538,6916,8834,14150,,,
225,17435,17580,19318,,,,,
226,2903,5606,10227,15727,15852,,,
227,4830,13641,15006,16682,17345,18275,20009,21325
228,4704,6599,8341,11398,13080,15968,16744,18507
229,6788,8433,9125,10867,11025,13359,14130,14512
230,77,1923,2146,4746,6647,7079,11473,12707
231,566,1898,2608,7062,17219,17521,17801,18177
232,705,1510,3150,5547,5727,7641,7971,20423
233,704,756,3260,6661,7111,7545,16225,16979
234,5260,8444,10727,11497,13762,14602,16093,16635
235,3413,5673,6097,6514,10035,11260,13412,14934
236,2,6085,9495,13023,14737,16569,17854,18387
237,6712,9303,14212,14782,16078,17294,18019,18355
238,364,4745,5618,9101,9314,9494,10843,13156
239,2014,2675,8221,10679,12346,18492,18708,20446
240,846,,,,,,,
241,1916,3055,3559,4453,4771,6822,9601,13599
242,1262,4415,5218,,,,,
243,2724,2808,12033,15387,18140,,,
244,430,836,1573,7497,13690,15207,15451,17195
245,1115,3670,11876,13974,15842,16353,16566,17456
246,3252,5732,5836,6656,7136,10105,11200,12057
247,3589,4732,5696,7443,16400,,,
248,516,7799,9304,9410,10527,10847,10922,13442
249,4286,9687,9818,10034,12424,13190,16296,18098
250,3170,3397,3856,10286,10299,10561,11745,13845
251,7476,9864,10150,,,,,
252,2906,3664,6258,8248,9968,10432,15890,19180
253,1937,,,,,,,
254,4834,7238,14070,,,,,
255,6880,9737,,,,,,
256,412,824,8118,10247,11931,12752,13700,13767
257,490,3036,7534,9701,10947,13081,13157,15361
258,2059,3175,4557,6248,8058,8119,9228,9326
259,192,18624,,,,,,
260,2906,2942,5481,10326,10432,16030,18764,18915
261,332,660,808,3221,7716,7741,11562,13609
262,491,3757,6735,7572,9727,13062,13631,14457
263,69,4694,9346,10033,,,,
264,69,4694,10609,15004,,,,
265,173,203,688,1461,5524,9808,13603,13745
266,531,745,2440,7375,12654,12657,12743,13221
267,4598,5586,6143,7262,12179,16127,16994,17413
268,502,6000,8499,9599,10961,13437,13798,14042
269,652,10359,15461,15876,17110,17386,17533,20308
270,2239,7007,8090,12117,12253,15966,18546,18995
271,1339,6188,19479,,,,,
272,5393,8724,10805,11836,12107,,,
273,6535,9893,14517,,,,,
274,2084,2850,8933,11852,12644,12871,19401,19901
275,579,1683,2353,3067,3075,9179,10346,12384
276,3624,7732,9687,13503,14784,15226,15348,15790
277,10413,12634,16338,16800,18348,20125,20282,21775
278,3008,3884,7603,10243,12434,12759,13763,13856
279,1693,7153,7529,15773,16237,16760,16812,20003
280,3786,4291,5324,5984,6962,8168,11249,14938
281,3496,8100,9310,13882,14747,15092,19390,19610
282,1684,2164,5406,5569,8691,15035,16438,16794
283,3249,4363,4719,6012,6579,9244,12629,14114
284,91,1640,3349,6768,9094,11920,13991,14421
285,361,830,895,9207,10260,10889,14397,15898
286,4571,9585,12979,,,,,
287,7355,12342,15080,18375,18771,,,
288,2435,5391,8201,12906,15067,15658,16561,17074
289,0,,,,,,,
290,3475,4359,5945,6667,10484,,,
291,300,611,2303,9108,11822,19153,19345,19726
292,2486,5920,8172,8428,13154,15820,17956,20535
293,3529,5193,9354,,,,,
294,656,1811,4186,4390,8158,9949,14475,14712
295,309,2575,6525,9006,9190,11752,12082,13589
296,494,2530,3006,5109,5456,5470,7511,10285
297,1727,2760,3324,11213,11412,12992,19348,19678
298,7315,7623,7646,7816,8397,9317,15160,15869
299,3466,7627,9197,12467,12803,14295,14372,14895
300,291,303,611,2240,6113,9108,19593,20107
301,3596,3691,4338,5421,7252,9939,11305,16600
302,3492,5269,6025,6215,9713,10378,12019,15208
303,300,2087,2240,3305,6914,9108,14064,19345
304,478,718,9770,9825,16265,17579,19084,
305,1596,13894,17481,18168,19744,20704,21339,22035
306,0,,,,,,,
307,1194,1756,12255,15828,16334,17675,18004,18597
308,6623,7894,,,,,,
309,295,1246,2575,7736,9190,11752,12082,13887
310,9820,11138,14324,,,,,
311,8857,11191,12706,13837,17647,17686,18563,20538
312,2108,2392,3134,9057,13897,14056,16911,19373
313,3485,5433,12145,14622,14901,16450,18061,21367
314,483,2801,3063,6527,7891,10675,14959,15886
315,3182,4269,4690,7129,11537,11647,13349,14627
316,7927,8493,9136,14175,15641,16680,17308,18922
317,7489,10711,15538,16323,19400,,,
318,5853,9050,17784,,,,,
319,1453,1738,2484,4661,4860,7785,12209,15082
320,1289,2636,2839,4933,5891,6047,7459,8300
321,21543,,,,,,,
322,2282,6613,15074,17545,20056,20825,21438,21934
323,3271,3538,4130,8976,9964,11163,13274,15819
324,1329,5074,5156,5163,5475,7588,10837,13006
325,14806,,,,,,,
326,3809,4673,5395,8994,13333,14359,15266,16674
327,432,6548,7284,10133,11231,11617,13520,13593
328,867,3390,9427,9526,14276,18456,21395,21504
329,504,1664,11753,13994,15050,18121,18364,20723
330,9981,21917,,,,,,
331,1403,1818,3848,4217,5356,9486,,
332,261,1414,1699,3221,4122,7741,7831,9849
333,573,1289,2636,3886,6047,7557,13504,15653
334,45,2510,4814,8355,8535,9509,9966,12796
335,4358,5147,5244,17132,20161,20668,21391,21897
336,1864,2109,2975,7847,9459,9761,10335,14442
337,771,2174,5613,14837,16010,18051,18362,18769
338,1683,8191,,,,,,
339,8222,15970,17747,18384,19280,20818,21585,21783
340,134,2170,3910,6669,7098,11145,15185,19431
341,779,9009,9471,15181,15599,16704,19896,22040
342,9384,9983,14756,15274,15308,19281,20804,21360
343,2570,5781,8513,8869,9711,10680,13741,17385
344,2308,2540,7541,9868,10278,,,
345,2927,3021,8000,8176,9638,9704,9836,10057
346,5041,7866,10485,11151,15429,,,
347,1183,15670,16032,17505,,,,
348,216,1042,3956,7760,8129,13298,13643,20132
349,2121,2196,9772,12686,12896,13075,15621,18898
350,3524,4663,5483,5639,8887,9265,12267,12925
351,3891,9650,13695,14791,16749,19346,20878,20902
352,3702,3704,4984,6060,10977,13630,14534,16206
353,1557,2660,3647,4427,7078,13806,13976,18127
354,9,3487,10398,14744,18090,18433,20258,
355,0,,,,,,,
356,82,1447,3466,6127,6444,6770,9197,12803
357,1313,3935,4231,4508,6329,7530,14243,16811
358,778,2798,4966,7060,7869,10453,11382,11899
359,2604,3123,4079,4527,6635,9532,12319,13372
360,2273,8761,13420,16947,18695,,,
361,85,285,830,10252,10260,10889,14961,15898
362,1829,3638,8209,9830,10117,10750,13407,14282
363,0,,,,,,,
364,56,238,807,2009,9314,9494,10155,11711
365,10479,11143,13323,16327,17511,21340,21472,21649
366,2219,2828,7149,7374,13829,,,
367,422,1236,6616,9710,10931,13614,13840,16173
368,6483,,,,,,,
369,6271,7147,8560,8741,8808,8939,10498,16534
370,604,2153,7521,9735,10447,11573,13650,14568
371,204,6671,6680,9159,14982,,,
372,2965,5439,6843,7516,8141,14238,,
373,3197,4425,7091,7440,8394,12721,12947,15903
374,4544,4589,7232,11035,11764,19484,20477,21836
375,459,672,6740,8831,10737,11589,12218,
376,3311,4105,6474,10307,10572,14971,15057,15950
377,217,1482,7198,7322,11428,13761,18822,20106
378,3748,11407,15415,16008,20010,21558,21572,21855
379,3089,4439,6542,6556,6600,13135,13544,16214
380,904,1935,5050,9560,13970,14672,17465,18962
381,2611,4302,4931,6400,12471,13240,14650,16205
382,2678,3276,6066,6349,6823,7159,10404,10613
383,697,8957,11781,18475,20569,21381,21556,21791
384,15477,16144,16236,17905,19727,19837,19856,21952
385,502,1044,3270,6000,7835,8499,11698,13596
386,0,,,,,,,
387,2233,3749,3856,4075,4436,6042,6467,9572
388,1171,3889,4753,10277,10418,11032,13935,14190
389,3423,3495,4453,5508,8841,12843,14829,15483
390,2300,3672,4321,11217,11693,12176,17513,17911
391,632,856,1383,2577,5851,7196,10695,13194
392,3872,4574,7182,9536,11469,11528,13954,15547
393,4038,15416,19479,19849,20377,,,
394,13925,,,,,,,
395,1428,2948,5769,9141,10084,15152,16739,18047
396,3375,7660,12712,16700,18077,19105,20026,20594
397,4977,12272,12830,15262,17939,18521,20773,22123
398,8349,10617,12792,17137,19494,,,
399,5732,7128,10841,11150,11988,12057,12375,13272
400,1245,1775,3027,3152,6240,10649,12036,15393
401,1433,3885,6262,9400,14096,17187,18242,18289
402,4056,10369,16999,17627,17817,19520,20914,21578
403,1366,3676,5013,15218,15676,18650,19840,20993
404,9090,12772,13904,14816,15661,16554,21131,21442
405,796,3567,4224,5365,10731,12195,,
406,0,,,,,,,
407,9936,,,,,,,
408,3359,5840,12524,16788,19818,,,
409,620,5337,6377,6885,8626,12037,14157,14213
410,1331,4329,5583,6033,7243,10147,15005,20957
411,1336,3170,3254,4693,7221,8378,10286,11205
412,256,824,2387,5688,6576,8118,11931,13767
413,418,6530,6747,8653,9969,12313,15418,21145
414,2,615,6175,9860,14431,14737,18607,18664
415,2903,4996,5606,6906,8952,,,
416,2446,4909,5202,9925,10184,12852,14275,14424
417,1799,6749,10180,12300,13269,15392,15412,17275
418,413,2043,2891,6747,8653,15418,21145,21918
419,1879,3230,6955,10755,12595,12696,13346,13694
420,1890,5796,8985,12038,13452,13648,14333,14440
421,598,2330,4466,15077,15528,19771,21030,21608
422,78,367,3678,6616,10931,12597,13840,16173
423,1353,4041,7384,13105,15515,15847,16510,16866
424,12498,19861,20333,20716,21119,21146,21875,22112
425,4293,6038,9335,9433,15381,15839,,
426,991,16901,16941,18270,20261,20411,20695,21781
427,4025,15285,16765,,,,,
428,126,3889,6141,6548,10133,13593,14058,14190
429,1329,1449,1974,5163,7055,8375,12557,14274
430,244,1438,1573,7497,13522,15207,17195,18486
431,1880,5011,6080,8001,8017,8901,10581,11960
432,327,3447,4255,7948,11231,11617,13027,15531
433,879,2323,7128,7166,8816,9518,10841,12579
434,1633,1669,5917,6373,17434,17676,19553,20828
435,4088,7475,8383,17179,17987,19268,20247,
436,737,1921,11821,14025,14220,15717,16028,16433
437,3935,6329,9221,10046,10341,11613,12013,17926
438,2451,5414,5841,9914,12998,14024,16513,16734
439,3958,5685,6321,9444,10930,11659,11938,17743
440,6750,8916,20912,,,,,
441,4005,9998,13664,,,,,
442,1241,4768,5283,10068,11971,12549,14952,16172
443,2963,3981,4124,4392,5575,6999,9420,11955
444,800,7732,9175,9687,9818,13477,15226,16296
445,784,6173,7717,8230,9986,10694,11392,14008
446,6007,9186,14413,17257,18146,19258,21350,21734
447,1756,1792,3247,4713,9669,11274,12255,13246
448,789,1606,4413,4538,9155,11780,12961,
449,957,9698,16677,19127,20532,20566,21553,22069
450,16277,19956,20276,,,,,
451,20276,,,,,,,
452,2467,5765,8734,11696,11734,13178,13757,14906
453,873,2031,3930,13454,17353,19094,20860,21151
454,534,5051,6738,7200,11279,11634,15233,15826
455,0,,,,,,,
456,1571,5591,5702,7515,10178,11013,11403,11703
457,3947,7556,8992,10551,16653,19288,19890,21670
458,1462,5322,6369,9373,12099,12838,17213,17311
459,375,7730,8831,10737,10883,,,
460,6927,7173,12618,13058,13278,16144,18329,21351
461,8086,17544,18964,,,,,
462,5986,7105,9423,10619,14204,14230,15000,18463
463,8518,9382,9739,9859,13010,15916,16299,16847
464,1453,1738,4560,7785,9853,10127,14303,14474
465,4951,4967,5923,7756,8030,8938,9756,12133
466,35,596,5882,9386,9665,9946,11578,19611
467,499,6589,11338,20536,,,,
468,2337,4444,5843,8602,10397,12210,12221,17858
469,1082,1930,13082,18670,19665,20566,21979,22069
470,7149,13829,,,,,,
471,1737,3639,5452,8450,9641,10152,14066,14250
472,1736,2732,4598,5586,5831,12179,15040,15176
473,155,1771,4082,4174,5982,9808,11550,12658
474,2245,2923,5656,11545,11715,12105,14267,16684
475,2022,6399,10409,14472,16441,18810,19267,20676
476,1151,1643,2138,4458,5847,8881,13337,14919
477,7112,10943,11040,14494,15206,,,
478,304,718,8116,9825,13755,13963,16265,17579
479,2064,6283,13733,17678,18649,19906,21515,21998
480,8148,10387,14439,14640,15177,16221,18069,18842
481,709,1815,3062,3639,7152,10089,12464,12685
482,2136,4490,5210,5346,8093,14166,15684,20359
483,314,852,9754,14959,15248,15886,16107,17162
484,9795,,,,,,,
485,6424,,,,,,,
486,753,1900,3998,4943,5918,6326,13379,14291
487,3188,4546,7969,,,,,
488,707,1215,3400,10699,12491,13037,18216,20527
489,4589,11371,13636,20061,20853,21210,21483,
490,257,1758,4475,7534,7637,12643,13081,13626
491,262,6735,7572,9727,13062,13317,14623,15638
492,2821,11034,12770,14443,16272,17618,19512,20245
493,632,2577,4393,5425,8835,9889,12043,13457
494,296,3006,4227,5456,5470,7492,7511,13574
495,3286,5082,6182,6799,8777,11068,15623,17171
496,21354,,,,,,,
497,1094,4639,4979,6564,8292,12846,14019,
498,640,2625,7067,11536,14588,14884,15486,17924
499,467,6589,11338,15770,,,,
500,1324,9806,11826,,,,,
501,2451,5171,5773,5841,8036,14336,17017,17061
502,268,385,1044,6000,7835,8499,9599,10961
503,852,9754,10975,13404,15248,15824,16023,18719
504,329,4468,5194,17458,18323,18364,19187,20723
505,3080,4874,6521,10361,11306,12621,15301,15721
506,708,8827,17578,,,,,
507,187,654,1084,3401,3420,7132,9168,9416
508,4254,5451,16586,16798,18209,19054,19104,19423
509,2644,6190,6902,8779,9379,10664,11406,13095
510,3695,5383,6993,8127,13770,14465,18544,
511,1183,6871,16875,16950,17505,18021,18076,18351
512,984,1068,4721,4727,5888,6541,8757,
513,631,1290,1824,4101,7037,7261,7644,13198
514,0,,,,,,,
515,1703,5200,9364,10747,12074,12670,13031,
516,248,4311,9165,9410,10847,10922,10995,13442
517,3705,5385,7312,7409,18527,18857,19093,20134
518,6562,7024,8101,13735,16255,19839,20720,20986
519,1865,2284,5924,9703,11135,15350,15784,18654
520,11355,15507,18187,19727,19965,20727,21139,21952
521,73,224,6558,6622,8834,13428,14150,
522,2048,2080,2983,4167,6754,9550,9954,10380
523,6688,7354,7372,9548,11985,12326,14624,17776
524,3674,4745,5618,5732,7136,11150,12375,13383
525,4115,4309,4455,5438,10026,17993,21646,21961
526,1467,1644,3291,4886,7903,9091,21459,21636
527,1689,2051,11451,,,,,
528,2361,11056,13665,13854,19142,20819,20840,21049
529,1020,3531,4847,18518,18716,20380,20561,
530,4286,5485,6071,7590,8999,12424,14466,17182
531,266,7375,8507,12654,12743,13221,,
532,62,202,2478,3153,4831,6729,9246,13123
533,0,,,,,,,
534,454,5051,8138,10421,11279,11634,14881,15233
535,952,3597,8540,9844,14032,,,
536,2751,3234,8487,9322,13896,14171,14477,16123
537,17566,19998,,,,,,
538,1798,6061,11168,21295,21880,,,
539,3539,4282,18690,20431,21591,21691,,
540,1251,3087,3434,11399,12016,15108,20524,
541,897,1133,11416,11840,14703,14736,15558,17598
542,743,2432,2973,8240,13696,15496,16330,18220
543,0,,,,,,,
544,3751,7051,10934,17932,21203,,,
545,3737,3783,4023,5628,7628,11420,13213,15866
546,2043,13938,21242,,,,,
547,17917,18204,19483,,,,,
548,2554,,,,,,,
549,165,999,3287,5162,5288,6247,10574,15607
550,3884,6708,8219,10588,11123,13672,13856,
551,3148,13796,14246,18250,18722,19542,20649,20673
552,5988,12872,13479,17929,18304,18878,19416,19854
553,1223,5385,7409,9749,17779,17969,19093,20542
554,1246,1383,2011,7196,9751,11529,12082,13194
555,3282,3778,4216,6841,10208,12953,17691,17955
556,5028,7475,9081,9688,11546,13458,20247,
557,2085,2815,3431,7539,7874,9187,9330,
558,1521,4665,7540,8426,14078,14870,18549,19056
559,21859,,,,,,,
560,7438,7647,9850,13682,16768,20332,21451,21564
561,2760,8261,9020,10682,17520,18974,19371,19678
562,1367,3131,5838,8891,12130,15237,15791,18924
563,5045,6557,11954,14891,18304,18941,19113,19854
564,1381,3932,5341,8023,8463,9739,13010,16299
565,5876,5956,9655,13108,17118,20942,21516,21735
566,231,6157,7062,7600,9429,9468,17521,17537
567,1372,1501,3474,5367,6540,7650,7958,11618
568,14251,15717,,,,,,
569,5385,10764,12949,14723,16869,17969,18102,18527
570,1881,5757,12067,12530,12700,20164,20777,21677
571,1873,13232,15532,15814,18428,18442,,
572,4938,7194,9652,9874,10946,17902,19948,19955
573,333,1472,3886,7557,11176,12826,13504,15653
574,2327,5023,8582,10809,19344,20451,21138,21222
575,9112,9773,16224,21596,,,,
576,3548,12862,16042,16331,17708,20587,20847,21583
577,596,4702,5882,9169,9579,9665,14823,20015
578,1580,9082,9942,11133,14358,16373,16767,17628
579,275,2353,3067,5614,8068,9179,12384,12986
580,2229,3143,4665,8454,11865,14078,16108,18664
581,3356,19857,21844,,,,,
582,7171,7889,8346,11293,12323,16721,17201,17242
583,2061,2473,4439,8888,13747,14630,16214,19576
584,1468,16383,19061,20305,20313,20864,21232,21887
585,44,2669,6151,10611,16409,19283,19711,20351
586,3768,4738,5119,6897,8215,10872,11165,11794
587,1250,2484,4242,4661,5525,9421,13638,16110
588,14086,,,,,,,
589,2631,3149,10033,10419,12128,14017,15530,
590,6361,8308,11532,13889,14572,14752,15397,17223
591,9899,12098,16993,,,,,
592,13398,15012,17703,,,,,
593,3042,7173,8062,13058,16795,18203,18329,20808
594,5731,14041,14580,16523,17049,17564,21708,
595,755,4144,11099,11743,13249,14866,15211,17402
596,466,577,3921,6057,8597,9665,11578,14823
597,13115,16268,19432,21240,,,,
