id,neigh1,neigh2,neigh3,neigh4,neigh5,neigh6,neigh7,neigh8
20090,1965,2361,11056,12813,14472,18208,20928,21024
20091,875,1408,5180,7754,8261,13355,16270,18470
20092,2637,4698,16401,17038,17245,18218,20298,
20093,967,3875,7670,8078,9712,16857,18053,18637
20094,7526,10704,13498,14707,14755,15750,17615,18717
20095,6087,9945,16185,17131,17427,18009,18916,20780
20096,2282,3193,13769,14185,15030,17545,18803,20745
20097,16201,17511,21037,,,,,
20098,4297,5632,6446,19695,20962,21511,21628,22019
20099,4305,13188,18678,20198,20531,21397,21662,21837
20100,1016,1676,1808,14908,17095,17530,20657,20696
20101,2075,6485,11397,12147,15951,20517,20658,21871
20102,8212,11395,15010,16444,18515,19277,21277,21517
20103,724,5759,5856,7025,11699,14375,14662,18738
20104,3554,3851,4993,6561,18625,19741,20152,21261
20105,3196,13126,16319,16584,17794,18174,19164,19377
20106,377,1482,2613,16309,18822,20721,21335,
20107,300,611,2240,2978,6113,6425,13216,19593
20108,1045,5583,10348,10967,17114,17734,20381,21883
20109,1457,4454,6625,10151,11167,,,
20110,2363,2502,3666,12502,14118,15710,18536,18882
20111,1105,1875,4813,10504,13861,15516,17368,17717
20112,9576,,,,,,,
20113,10948,15094,17916,,,,,
20114,21094,,,,,,,
20115,4775,10244,13998,17129,18118,18807,21132,21776
20116,3720,9305,11468,16080,18933,19415,20065,20739
20117,1272,13712,,,,,,
20118,8390,9226,10258,13424,17661,19396,21020,
20119,8386,10978,14012,15952,17673,18115,19735,21954
20120,4736,10642,16612,16661,19314,20168,21316,21329
20121,4386,5607,7988,10383,12960,17584,19392,22022
20122,9652,11441,11884,13354,16084,17474,18106,19948
20123,15072,15677,17219,17783,17801,17897,19235,19334
20124,4905,6573,7725,13280,16816,18134,18410,20938
20125,277,2082,10413,10577,14775,14834,16800,20263
20126,3390,4154,5279,18238,18456,20328,21395,21991
20127,16756,20659,20946,,,,,
20128,2676,8268,11710,13704,14980,16132,17334,19947
20129,1596,10577,14834,15395,16051,19026,19820,21846
20130,1561,3601,4766,10003,10721,17391,19013,19753
20131,853,2445,16148,20011,21169,21217,21281,22003
20132,216,348,1042,3956,10106,11318,13643,14785
20133,4332,5585,11001,18866,20857,21047,21523,21712
20134,517,7312,7409,12509,13936,16356,18857,19093
20135,0,,,,,,,
20136,0,,,,,,,
20137,104,8924,9940,12134,12166,16822,20650,21814
20138,5500,7244,14661,20716,20795,21146,21249,22112
20139,182,3501,6473,13283,14496,16748,20821,21281
20140,5374,5812,13255,17476,19303,19319,20224,21812
20141,4021,15005,15498,17427,18009,20054,20957,21786
20142,121,3614,4288,7932,12581,19689,20729,21590
20143,4244,8617,10310,11332,,,,
20144,2609,10251,17516,18975,19032,19807,19916,
20145,2136,8249,8658,9491,14166,14689,17191,19491
20146,5727,7687,8218,13112,16876,17300,17949,19563
20147,5532,7876,11105,11190,15437,20316,21255,22010
20148,667,10221,10417,12174,13943,14713,16855,18710
20149,10083,12025,20356,,,,,
20150,4397,5576,5974,8244,18958,21286,21493,21964
20151,6339,7776,8797,9778,14943,15571,16918,18642
20152,2766,3554,6915,18625,19741,20104,21261,21725
20153,1066,1550,9903,12965,14148,16614,18674,18988
20154,3032,10369,13760,16498,21190,,,
20155,5946,9253,18318,18421,19609,20195,20619,21428
20156,8582,10809,11919,13116,14586,16909,17460,17760
20157,1517,1706,2776,6131,6337,13908,15329,19123
20158,6233,8351,8840,10949,12695,18993,19199,20623
20159,6774,18228,18745,19043,21768,,,
20160,104,9931,13228,14080,15180,20173,20342,21814
20161,335,3236,4358,5147,12163,16190,17132,20668
20162,3635,8073,10203,11221,13930,15668,16938,19925
20163,1979,4228,5787,8588,11158,14621,18292,18522
20164,570,1881,5757,14711,19966,20275,20777,21677
20165,1315,12873,13511,15688,15939,16967,,
20166,2005,2553,3947,5302,11610,18776,19288,19787
20167,4921,6007,9435,13413,14413,14698,16575,21891
20168,10592,10642,16661,19314,19834,20120,21316,21966
20169,6526,8241,17525,18017,19143,21160,21500,21600
20170,827,4005,11094,11751,11783,13664,18016,20475
20171,1481,4717,6103,7251,17607,18357,19547,21959
20172,4466,8577,11549,15039,16056,19850,21030,21816
20173,760,8009,13228,14080,17701,20160,20494,21723
20174,15838,16180,16560,18936,19368,20872,,
20175,652,1105,1436,1875,4670,14248,17533,19482
20176,103,8383,14226,15383,17179,17987,18726,18938
20177,1660,3513,6828,6834,17250,17999,21389,21896
20178,6649,9473,10124,13363,17727,,,
20179,1085,2663,4532,4631,7297,7421,8748,14584
20180,939,7309,17119,,,,,
20181,2871,11140,11225,17111,20611,21362,21752,22098
20182,2560,2772,11245,18325,20485,,,
20183,1468,6114,9365,14134,15577,16887,20309,20636
20184,13216,14173,14537,14674,16085,20006,,
20185,2391,4965,11832,17022,19527,,,
20186,5976,12149,20911,21204,21615,,,
20187,9747,13514,14801,15060,16447,17638,18853,20555
20188,0,,,,,,,
20189,911,12341,16275,18778,20734,,,
20190,4960,13606,17192,,,,,
20191,934,998,2736,5862,15370,19871,21033,21356
20192,6113,6410,6585,13216,19146,,,
20193,0,,,,,,,
20194,8309,10758,11358,11884,12569,16084,17539,19504
20195,6959,8945,9253,14636,18318,19353,20155,21508
20196,5400,8117,10043,16515,18662,19786,19812,21522
20197,1373,4888,11508,14104,18453,20787,21156,22099
20198,4281,13188,15222,18538,19734,20099,20547,21397
20199,2624,5948,9540,14507,14946,20019,21091,21501
20200,5230,10113,11418,21349,21408,,,
20201,1139,10690,11729,15946,15979,18356,19307,19700
20202,14933,,,,,,,
20203,3558,4637,6619,12734,16446,18392,19927,21843
20204,4395,,,,,,,
20205,7080,16541,19532,20033,20277,20335,20425,21774
20206,8566,11795,12022,14403,18361,21860,21912,21986
20207,659,4035,10210,14458,20077,,,
20208,1507,4668,6692,17113,17140,21273,21510,21544
20209,6898,18397,19043,,,,,
20210,725,2475,5506,8732,8931,18382,20971,21557
20211,13091,13606,14120,17145,20005,20048,20051,21652
20212,1356,13910,14520,14825,17900,19136,20654,21668
20213,6356,8539,10444,11102,11836,19677,20874,
20214,1763,4419,16660,19766,,,,
20215,1991,4382,4954,10099,17076,17957,18330,19393
20216,7371,14140,18682,20992,21027,21171,21559,21976
20217,2929,16716,17063,19626,19728,21320,21707,21799
20218,5660,6169,7675,12673,14277,14807,15648,19090
20219,4410,20709,21869,,,,,
20220,2500,7728,10684,15010,18677,19515,21277,
20221,1925,2579,11255,11623,21279,,,
20222,0,,,,,,,
20223,1889,3364,7167,10375,15672,17342,21114,
20224,607,5374,5812,17600,20140,,,
20225,13455,15353,15885,16102,17453,18617,18773,19828
20226,4271,14156,16752,17359,19016,19278,19364,22050
20227,2897,3128,4645,6472,8099,9367,11655,16706
20228,8489,8818,11769,12684,15378,17382,18258,21863
20229,1650,12943,14480,19930,,,,
20230,1156,2505,5961,12486,18948,19911,21101,22051
20231,3896,4468,5839,19647,20923,21107,21159,21847
20232,2335,3991,9064,12572,14786,17164,18481,19755
20233,1030,3870,5848,7763,8557,15191,17684,18501
20234,5304,6294,6312,15194,17451,20076,21473,21902
20235,5886,7740,8656,12985,13979,15062,15813,19347
20236,17,1744,2078,14970,15475,18633,21048,21566
20237,1681,6802,7165,8347,14127,15905,16616,20754
20238,4808,5023,8418,13551,13900,19385,20999,21263
20239,13910,14721,15964,17184,17900,21668,21711,
20240,1091,4572,5027,10611,17153,20351,20405,
20241,2716,10982,11413,12139,18850,19091,19572,19999
20242,2877,6649,7550,9473,13363,13622,15657,17157
20243,11689,20270,,,,,,
20244,1598,4578,13921,17307,18057,18819,19935,22116
20245,492,2821,11282,12517,17444,18756,19276,19512
20246,4913,9591,13257,15297,16073,16181,18363,18581
20247,435,556,3330,4088,7475,9081,9688,11546
20248,20886,20985,21643,,,,,
20249,0,,,,,,,
20250,4094,8418,9533,13964,14290,19270,20028,21352
20251,17126,20858,,,,,,
20252,3237,5106,5179,10772,12637,15746,19328,20434
20253,0,,,,,,,
20254,6336,10198,11753,13164,15374,17812,18121,21303
20255,6993,13770,18180,19738,20640,,,
20256,3827,19580,20419,,,,,
20257,2327,4808,5023,8418,14290,19344,20028,20468
20258,354,3487,10398,17777,18090,18286,18433,19808
20259,14685,18154,18585,20728,21116,22027,,
20260,13632,21268,,,,,,
20261,426,991,9508,16901,16941,18270,21650,
20262,669,7615,7933,11677,15724,19343,20085,21152
20263,2082,5821,10413,16751,17481,18348,20125,20704
20264,16906,16985,17084,18566,19800,21403,21598,22068
20265,941,3403,4541,6375,19685,,,
20266,10677,13717,15405,21377,21592,,,
20267,2130,2294,3575,5795,11130,12049,19009,21361
20268,943,3545,7305,15919,17370,17429,18163,20784
20269,4722,5664,17230,17379,17635,19324,19382,22043
20270,641,8784,20243,20543,,,,
20271,10519,13014,16029,16065,19642,,,
20272,17097,18928,21419,,,,,
20273,2662,11315,14408,14545,17885,18214,18548,21644
20274,2768,10514,13765,20573,20829,21317,21535,21925
20275,1157,7244,11118,14661,14711,18578,20164,20777
20276,450:451,,,,,,,
20277,11687,16541,19757,20205,20335,,,
20278,12753,,,,,,,
20279,13166,15503,21181,,,,,
20280,7555,8227,9983,16983,20337,20804,21458,21468
20281,1994,3387,11861,15618,19570,20647,21079,21693
20282,14,277,2096,2925,12634,16338,16800,21775
20283,1463,12374,15077,16878,19771,21241,21608,21788
20284,1700,1844,8106,14702,17587,19815,21447,
20285,2140,7881,12053,15686,20612,20666,20692,20785
20286,2449,3554,4993,8407,17287,18234,21261,21432
20287,1362,2703,11894,14164,14429,16247,18307,20057
20288,6595,7180,7781,18985,20486,21579,21682,
20289,1075,1901,10740,12014,14177,15299,18900,20635
20290,1369,9501,10927,18236,19205,19247,19309,19637
20291,0,,,,,,,
20292,12292,14765,18489,,,,,
20293,4188,5960,21643,,,,,
20294,2358,5148,13116,13799,14586,17460,18219,18295
20295,1844,4591,16503,17102,17587,21144,21321,21931
20296,1804,6101,7120,16668,19517,19667,20376,21537
20297,5948,12086,14310,14507,14946,18545,20886,21023
20298,2264,4698,16401,20092,,,,
20299,0,,,,,,,
20300,87,1018,5284,8265,8681,11437,14678,16344
20301,3125,4226,11495,16240,19111,,,
20302,2607,4798,5434,9124,11283,19315,19523,21808
20303,2502,4791,7229,11408,13239,15710,15998,19340
20304,4141,5707,8968,18195,19148,20707,20870,21446
20305,584,8618,13819,18540,19061,20076,20313,20847
20306,5400,6983,8117,8882,18929,19789,19891,21072
20307,0,,,,,,,
20308,269,652,10359,11743,14866,15876,17386,18153
20309,5347,9365,12820,14134,15577,15983,16887,20183
20310,5140,5804,6718,9561,17216,18207,20353,20814
20311,5036,13439,16502,,,,,
20312,3100,6956,10171,10473,12274,16062,16218,19541
20313,584,6294,18540,19061,20076,20305,20864,21232
20314,2716,12139,14222,16294,18010,18850,19796,20001
20315,0,,,,,,,
20316,2195,8818,11105,13888,15437,17910,20147,
20317,0,,,,,,,
20318,2578,3117,5736,8509,9551,17562,18612,21269
20319,5311,7234,,,,,,
20320,10288,14163,16825,20503,21423,22070,,
20321,14833,15660,17183,20326,21143,21674,21810,21840
20322,6719,,,,,,,
20323,1288,4385,8581,13393,16742,16952,19821,20507
20324,4932,13697,13929,15788,16339,17785,20584,
20325,15741,19919,21430,,,,,
20326,2607,10665,13645,17624,19523,20321,21810,21840
20327,15542,16227,20404,20951,21589,,,
20328,2447,4154,8707,9373,17213,18199,20126,21991
20329,2224,12890,21075,,,,,
20330,3816,7427,11155,15665,16361,17124,17726,21833
20331,4546,7969,14618,16021,21792,,,
20332,560,7647,17467,20366,20935,20992,21044,21451
20333,424,1214,10239,12498,19547,19660,21373,21875
20334,11778,13439,15012,17703,18327,,,
20335,7080,11687,16541,19757,20033,20205,20277,21173
20336,17389,17414,19833,21940,,,,
20337,3960,13003,13964,15274,16983,20280,20804,21352
20338,1048,2535,13043,16440,19408,20058,20684,21100
20339,1611,,,,,,,
20340,7090,9164,13893,14821,15112,15227,17735,21236
20341,9202,10547,16236,17905,19774,19851,19991,21234
20342,5659,6960,8009,9931,13228,13912,14208,20160
20343,4397,5506,5576,8931,15907,18369,18382,18958
20344,2095,3656,5304,6166,6312,7256,13971,15194
20345,1309,1796,21757,,,,,
20346,11245,20023,20731,,,,,
20347,0,,,,,,,
20348,5100,5579,11543,16807,16903,,,
20349,4575,8081,13217,14379,15376,20954,20998,21484
20350,4173,7553,,,,,,
20351,585,10611,12399,12648,16409,17153,20240,
20352,5069,10634,12455,12592,14997,18572,18902,20428
20353,3940,5140,5804,15180,17216,19048,20310,20814
20354,5228,8964,16070,17497,18322,,,
20355,4643,4839,9581,9961,14636,18873,21609,
20356,4348,7792,10083,12025,18711,20149,20599,
20357,6216,19933,20478,20837,20958,,,
20358,3096,5258,6285,11256,11298,16921,18815,20703
20359,482,1885,2915,4490,5346,8740,14015,19530
20360,151,2709,8510,14138,15213,15608,18435,18799
20361,0,,,,,,,
20362,3251,4351,13722,14126,15821,18571,18666,19237
20363,2410,7282,11750,17499,18834,21224,,
20364,1238,5199,5208,9256,10143,19028,20433,21453
20365,2669,13844,15562,16302,19579,19711,19749,
20366,15166,17158,17467,20332,20992,21027,21044,21451
